Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,036_12months_DTI_antsBM
5.18886,0.32768,0.313247,0.310899,0.320739,0.339263,0.318523,0.325275,0.293905,0.304303,0.299261,0.294052,0.306615,0.283555,0.282001,0.259667,0.27377,0.26016,0.298023,0.323257,0.294907,0.288294,0.311674,0.271208,0.262563,0.312228,0.311262,0.280288,0.28386,0.291968,0.290857,0.277517
5.68886,0.316609,0.298572,0.30228,0.309523,0.333512,0.29905,0.313327,0.278785,0.297443,0.295545,0.286592,0.292567,0.274116,0.272715,0.251463,0.261771,0.247107,0.282884,0.308725,0.285928,0.281326,0.297768,0.258129,0.250552,0.305183,0.298207,0.266421,0.267282,0.275757,0.279015,0.270594
6.18886,0.305281,0.286812,0.295627,0.30511,0.331783,0.284527,0.302042,0.265775,0.296078,0.29964,0.277522,0.278684,0.265438,0.265085,0.248255,0.253139,0.243872,0.268111,0.29309,0.279108,0.277942,0.284032,0.248557,0.24329,0.30004,0.285613,0.256845,0.251764,0.261999,0.27061,0.269454
6.68886,0.296971,0.279925,0.287304,0.303285,0.331995,0.276657,0.292349,0.254743,0.295994,0.303515,0.270298,0.268816,0.258328,0.259466,0.247623,0.248344,0.249502,0.257199,0.279697,0.271985,0.276865,0.272674,0.241281,0.242718,0.293725,0.273408,0.250947,0.236796,0.249237,0.263953,0.276963
7.18886,0.293148,0.278181,0.276075,0.300466,0.332541,0.274849,0.28663,0.245196,0.293909,0.300911,0.267365,0.264316,0.252385,0.256029,0.246778,0.245564,0.258505,0.252699,0.272003,0.265297,0.276394,0.26455,0.233839,0.247847,0.283747,0.259613,0.2479,0.222167,0.236174,0.257304,0.293955
7.68886,0.292696,0.279638,0.266283,0.293409,0.331935,0.274578,0.284503,0.237857,0.287767,0.291116,0.267585,0.262962,0.247742,0.254758,0.244434,0.245433,0.264391,0.254236,0.267612,0.259787,0.275491,0.258812,0.225919,0.254421,0.271949,0.246011,0.245934,0.209652,0.220451,0.249321,0.314882
8.18886,0.291349,0.279271,0.259744,0.28317,0.327637,0.269548,0.28256,0.232,0.277401,0.27768,0.266689,0.260261,0.241325,0.252819,0.238981,0.246724,0.264687,0.25671,0.263368,0.255204,0.271354,0.251237,0.218236,0.256697,0.261256,0.234964,0.243034,0.199463,0.201807,0.239493,0.328969
8.68886,0.285723,0.271862,0.255479,0.271631,0.314986,0.257913,0.275801,0.225975,0.263275,0.262825,0.260584,0.253086,0.231592,0.24761,0.230235,0.245042,0.257597,0.25559,0.25652,0.248939,0.261355,0.239035,0.211377,0.250667,0.250911,0.226652,0.236725,0.190493,0.183151,0.227157,0.325794
9.18886,0.274946,0.255651,0.250062,0.259264,0.293308,0.24273,0.262286,0.21783,0.246409,0.246284,0.246544,0.24174,0.219227,0.237674,0.217964,0.236959,0.243463,0.248576,0.24591,0.237293,0.245105,0.224406,0.205178,0.238197,0.238556,0.217753,0.224952,0.181354,0.166996,0.212094,0.302534
9.68886,0.259256,0.234331,0.240065,0.247632,0.267583,0.229118,0.246205,0.206772,0.229479,0.228456,0.225269,0.228787,0.205854,0.224484,0.20275,0.222266,0.225492,0.235712,0.232125,0.220372,0.224422,0.209953,0.197928,0.225086,0.222946,0.20582,0.208661,0.17118,0.155357,0.195116,0.269576
10.1889,0.238752,0.214411,0.225262,0.236634,0.243717,0.217975,0.230407,0.193704,0.214326,0.21015,0.200631,0.216135,0.192639,0.210472,0.187201,0.205147,0.206492,0.218776,0.216091,0.200347,0.202142,0.196549,0.190421,0.215683,0.20503,0.192568,0.190647,0.160739,0.149097,0.177819,0.239341
10.6889,0.214653,0.200214,0.207466,0.224898,0.225291,0.207416,0.214849,0.180978,0.202838,0.194052,0.177217,0.204297,0.180651,0.196517,0.174634,0.189457,0.189056,0.200423,0.199415,0.179916,0.181368,0.183407,0.184405,0.211613,0.187813,0.181603,0.173793,0.151996,0.147932,0.162705,0.219163
11.1889,0.189644,0.191748,0.189276,0.211935,0.212018,0.194988,0.198573,0.170821,0.195197,0.182869,0.159664,0.192732,0.170843,0.182956,0.168344,0.177119,0.175391,0.183277,0.183872,0.161728,0.164618,0.170152,0.180289,0.21095,0.173633,0.174932,0.160391,0.145865,0.150289,0.152169,0.210712
11.6889,0.169866,0.185482,0.176725,0.200476,0.20303,0.180816,0.182902,0.164058,0.190414,0.17748,0.15157,0.183059,0.165097,0.171633,0.168999,0.169021,0.167571,0.170492,0.171089,0.148865,0.15505,0.159675,0.1773,0.209701,0.164244,0.172071,0.152443,0.142661,0.153415,0.146972,0.211809
12.1889,0.159161,0.178338,0.172291,0.193501,0.196955,0.168876,0.171787,0.158669,0.186965,0.175773,0.150852,0.176792,0.162961,0.164427,0.172443,0.163485,0.164662,0.162863,0.16136,0.142216,0.152216,0.15355,0.173682,0.205569,0.158915,0.169611,0.148759,0.140924,0.153685,0.1453,0.217979
12.6889,0.15426,0.170655,0.173097,0.190819,0.192269,0.160849,0.165362,0.152347,0.182982,0.17487,0.152622,0.173569,0.16107,0.160885,0.174499,0.157975,0.163497,0.157954,0.154179,0.139176,0.15266,0.151067,0.169668,0.200393,0.155628,0.166363,0.147588,0.139178,0.150269,0.145453,0.226067
13.1889,0.150889,0.164604,0.175129,0.189149,0.18859,0.155745,0.160548,0.145124,0.177962,0.173577,0.152498,0.172369,0.157972,0.158833,0.173683,0.151172,0.161585,0.154603,0.150185,0.137134,0.153063,0.150039,0.166588,0.197067,0.152214,0.163143,0.147598,0.137279,0.145205,0.146857,0.232115
13.6889,0.147481,0.161839,0.176038,0.184961,0.184105,0.151564,0.154545,0.139355,0.171667,0.172592,0.149791,0.171397,0.153614,0.155649,0.170729,0.144611,0.158538,0.152603,0.149814,0.134844,0.152036,0.149623,0.16594,0.197518,0.148451,0.160245,0.148796,0.136084,0.140832,0.149313,0.232033
14.1889,0.142048,0.160692,0.175169,0.17599,0.175747,0.145838,0.145522,0.13768,0.161912,0.173575,0.144289,0.169093,0.148435,0.148415,0.166118,0.139871,0.15463,0.151616,0.1525,0.131363,0.14877,0.149386,0.165691,0.203105,0.143848,0.156652,0.151126,0.135501,0.139047,0.149668,0.223996
14.6889,0.135772,0.159507,0.173567,0.164993,0.163319,0.138746,0.136523,0.139456,0.14984,0.175956,0.138634,0.165981,0.144793,0.138173,0.159763,0.138153,0.150195,0.152216,0.157035,0.129239,0.143294,0.147458,0.163385,0.205806,0.138208,0.150843,0.153142,0.135217,0.140533,0.144911,0.205649
15.1889,0.130856,0.157082,0.171171,0.156148,0.150027,0.132381,0.131238,0.143248,0.139915,0.178528,0.136703,0.162913,0.142931,0.128938,0.153596,0.138629,0.145917,0.153082,0.159821,0.129671,0.136062,0.141713,0.157608,0.201363,0.134658,0.145194,0.153535,0.134588,0.142742,0.135612,0.184579
15.6889,0.12782,0.153849,0.167446,0.151968,0.139356,0.12891,0.129844,0.145961,0.134518,0.17939,0.137054,0.161039,0.142558,0.12343,0.149537,0.137154,0.141539,0.153538,0.160512,0.131355,0.12872,0.132795,0.149376,0.191134,0.132968,0.141267,0.151512,0.132485,0.143391,0.126788,0.168711
16.1889,0.127835,0.150378,0.162166,0.149827,0.131195,0.128269,0.131231,0.145831,0.132625,0.175877,0.13944,0.15977,0.143971,0.121505,0.145738,0.132881,0.136527,0.154526,0.162074,0.135961,0.120897,0.120138,0.13856,0.170848,0.130201,0.137961,0.146873,0.129106,0.141808,0.121077,0.150847
16.6889,0.132378,0.146031,0.156757,0.146027,0.126786,0.12979,0.133771,0.143319,0.13298,0.170839,0.142048,0.15945,0.146543,0.122475,0.14292,0.127038,0.133143,0.155877,0.164376,0.140796,0.113549,0.107058,0.127559,0.154356,0.128991,0.137208,0.140698,0.124438,0.137188,0.119179,0.138098
