Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM
-8.71011,0.251807,0.256952,0.262974,0.256286,0.263892,0.219036,0.22974,0.220272,0.220023,0.23814,0.249846,0.1937,0.202358,0.247462,0.271906,0.252643,0.217518,0.209229,0.212212,0.280768,0.296571,0.300942,0.231151,0.255634,0.242868,0.278431,0.257804,0.281675,0.177706
-8.21011,0.249497,0.25331,0.261411,0.258866,0.259703,0.211962,0.23176,0.216299,0.221769,0.235029,0.238656,0.188737,0.204037,0.250369,0.273199,0.251871,0.215323,0.205343,0.210091,0.279248,0.293769,0.303428,0.226107,0.251747,0.245527,0.275488,0.253301,0.280312,0.177145
-7.71011,0.249218,0.250957,0.262309,0.262242,0.25788,0.206202,0.233739,0.217056,0.226208,0.232973,0.227681,0.185404,0.205786,0.248247,0.275562,0.251261,0.213768,0.204068,0.208566,0.275947,0.2892,0.302824,0.223218,0.250625,0.248462,0.272996,0.249479,0.277838,0.179698
-7.21011,0.252055,0.249645,0.26731,0.267934,0.260579,0.203568,0.236939,0.22527,0.234564,0.233732,0.22075,0.185608,0.209128,0.245142,0.279232,0.251601,0.213938,0.207341,0.210672,0.27288,0.287354,0.301425,0.225996,0.257035,0.25572,0.272863,0.250504,0.278515,0.187907
-6.71011,0.260155,0.250888,0.276375,0.276819,0.268539,0.207126,0.243574,0.239891,0.246767,0.23906,0.2218,0.192064,0.216544,0.246222,0.284512,0.254883,0.217912,0.216609,0.218594,0.272704,0.290372,0.301625,0.235916,0.272045,0.27048,0.275978,0.259387,0.285312,0.202304
-6.21011,0.274473,0.256168,0.28804,0.288043,0.279002,0.218458,0.254837,0.257531,0.261596,0.249462,0.230999,0.205306,0.228485,0.254018,0.291306,0.261138,0.226917,0.230945,0.231314,0.276646,0.296914,0.303834,0.250563,0.292419,0.291346,0.281677,0.275237,0.29811,0.221445
-5.71011,0.291399,0.263831,0.298919,0.298355,0.28898,0.235175,0.268852,0.274287,0.276473,0.262211,0.244419,0.222681,0.242508,0.267007,0.297866,0.267694,0.238653,0.247024,0.24507,0.282993,0.303074,0.306289,0.26522,0.312001,0.312186,0.287511,0.293269,0.313199,0.241529
-5.21011,0.304522,0.27036,0.306591,0.303931,0.296761,0.251882,0.280513,0.286052,0.287749,0.272553,0.255469,0.23866,0.254034,0.27945,0.300776,0.270553,0.249639,0.259251,0.255483,0.287691,0.305012,0.306595,0.274966,0.324914,0.326345,0.290622,0.307193,0.324524,0.257524
-4.71011,0.309063,0.272927,0.30974,0.304401,0.301502,0.264187,0.28566,0.291687,0.293396,0.27733,0.258971,0.248479,0.259895,0.286193,0.297327,0.267335,0.256894,0.26459,0.260966,0.288107,0.3018,0.303257,0.277413,0.329417,0.331598,0.288755,0.312658,0.327801,0.267012
-4.21011,0.30563,0.271889,0.308669,0.301972,0.303307,0.271079,0.284461,0.291816,0.293263,0.277364,0.255412,0.250966,0.260013,0.286013,0.287997,0.259461,0.259811,0.264263,0.26359,0.284654,0.295339,0.297125,0.272957,0.32721,0.33047,0.282891,0.309013,0.322353,0.269279
-3.71011,0.29996,0.270839,0.306683,0.300325,0.302996,0.275172,0.281169,0.290054,0.290206,0.276778,0.251222,0.24885,0.25683,0.282101,0.276774,0.251137,0.26089,0.263107,0.267242,0.280637,0.288944,0.290603,0.264897,0.321847,0.326821,0.27621,0.299296,0.311966,0.267148
-3.21011,0.298187,0.272954,0.307648,0.302203,0.301937,0.279217,0.280679,0.29171,0.288359,0.278823,0.25312,0.246765,0.253908,0.278679,0.269253,0.24717,0.26273,0.265853,0.273937,0.278884,0.286271,0.286753,0.257894,0.316939,0.323281,0.271468,0.2888,0.303322,0.266234
-2.71011,0.301981,0.278915,0.314328,0.306964,0.300215,0.283563,0.28407,0.298807,0.289665,0.282516,0.262921,0.247848,0.254159,0.276679,0.268159,0.250368,0.266712,0.272598,0.282109,0.279878,0.287646,0.286797,0.254965,0.312692,0.320258,0.270174,0.283042,0.30066,0.268764
-2.21011,0.306809,0.285062,0.323533,0.311651,0.296216,0.285897,0.287762,0.307838,0.292573,0.28457,0.276304,0.251486,0.257763,0.274735,0.272641,0.259561,0.27076,0.278883,0.287082,0.281609,0.289591,0.288677,0.255844,0.307727,0.31708,0.269964,0.282937,0.30292,0.273664
-1.71011,0.307767,0.287106,0.330104,0.313312,0.288982,0.28493,0.287883,0.312747,0.293576,0.283906,0.286486,0.254683,0.262059,0.272074,0.278047,0.269255,0.272122,0.280939,0.286183,0.28167,0.288248,0.289789,0.258411,0.301527,0.31296,0.267497,0.283834,0.305091,0.277563
