Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-3.80412,0.292565,0.266449,0.251828,0.229608,0.252663,0.271336,0.288371,0.225977,0.250775,0.218847,0.246003,0.240102,0.232085,0.22226,0.224672,0.246113,0.236883,0.22889,0.24342,0.234179,0.239599,0.219656,0.248266,0.217261,0.191338,0.179816,0.214814,0.210099,0.251111,0.194947,0.187315,0.248816,0.229262,0.206931
-3.30412,0.299455,0.255014,0.249496,0.228493,0.255078,0.274778,0.295151,0.225172,0.266605,0.218125,0.25104,0.227879,0.231879,0.22042,0.214365,0.242481,0.239401,0.229027,0.240353,0.230435,0.237166,0.215057,0.251145,0.225763,0.20222,0.173489,0.200564,0.208422,0.257974,0.19198,0.188657,0.242839,0.23261,0.204295
-2.80412,0.298937,0.250565,0.251566,0.229475,0.257514,0.274089,0.297416,0.222971,0.281943,0.223263,0.263196,0.215426,0.226993,0.21427,0.20064,0.238065,0.238787,0.22788,0.239314,0.218726,0.227213,0.207059,0.259423,0.236884,0.211655,0.174321,0.196759,0.213425,0.253208,0.195626,0.198293,0.22762,0.232912,0.198958
-2.30412,0.291738,0.258039,0.261119,0.233569,0.26207,0.271747,0.29981,0.223666,0.295056,0.234908,0.279607,0.212884,0.222745,0.210478,0.193627,0.239766,0.238824,0.229357,0.244509,0.205521,0.219093,0.20724,0.27151,0.248042,0.220097,0.184297,0.207033,0.225038,0.24279,0.2097,0.218044,0.215656,0.231627,0.19941
-1.80412,0.281984,0.275119,0.275827,0.239391,0.268043,0.270247,0.307011,0.228676,0.305029,0.248271,0.2957,0.221766,0.224413,0.213041,0.199422,0.252363,0.243049,0.235923,0.25698,0.200813,0.218874,0.221257,0.283903,0.257333,0.227027,0.201599,0.227142,0.240533,0.234749,0.230884,0.243293,0.216854,0.231373,0.209519
-1.30412,0.273527,0.292829,0.289451,0.245013,0.270973,0.269104,0.316896,0.234473,0.310378,0.257233,0.306894,0.234537,0.231012,0.22055,0.214342,0.270895,0.251174,0.244855,0.270956,0.207184,0.225211,0.243823,0.292122,0.26421,0.230432,0.218941,0.245573,0.253816,0.233825,0.250672,0.265394,0.228231,0.230565,0.226126
-0.804124,0.268514,0.303817,0.297492,0.248861,0.268921,0.267297,0.325287,0.237716,0.310585,0.259619,0.311851,0.242784,0.237074,0.226861,0.228147,0.285758,0.258712,0.25185,0.280919,0.218155,0.232528,0.260954,0.294338,0.267047,0.229692,0.23056,0.254771,0.261333,0.236774,0.260719,0.277356,0.240115,0.227947,0.240623
-0.304124,0.264614,0.305863,0.300987,0.251511,0.256034,0.262888,0.328947,0.235023,0.304556,0.254897,0.306963,0.241279,0.239291,0.226303,0.235544,0.289621,0.263796,0.255086,0.284823,0.228733,0.236831,0.263879,0.290421,0.264685,0.221888,0.233966,0.255188,0.262622,0.239119,0.25738,0.278504,0.245648,0.220353,0.247533
0.195876,0.257506,0.301627,0.296562,0.251185,0.23335,0.256425,0.322389,0.226626,0.291288,0.248805,0.291059,0.228842,0.233986,0.21563,0.231282,0.276255,0.26102,0.252124,0.278704,0.229791,0.234921,0.248689,0.277599,0.256472,0.20863,0.225717,0.247573,0.256547,0.235219,0.241177,0.269306,0.24002,0.209194,0.241572
0.695876,0.246016,0.295417,0.284258,0.250534,0.210862,0.248658,0.307695,0.216568,0.276485,0.245695,0.273213,0.21053,0.224313,0.198963,0.219622,0.254544,0.249949,0.245473,0.267043,0.222722,0.229194,0.22329,0.261549,0.249259,0.195652,0.210276,0.236427,0.247639,0.225721,0.218863,0.254529,0.228284,0.200071,0.225395
