Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-0.0524568,0.230505,0.295758,0.262766,0.276689,0.278891,0.29142,0.280983,0.264906,0.307078,0.296376,0.262328,0.260703,0.225803,0.226422,0.282582,0.271759,0.241272,0.269067,0.218443,0.25022,0.266592,0.250306,0.242456,0.221145,0.230818,0.24197,0.247948,0.23917,0.262495,0.246533,0.245069,0.260263
0.447543,0.223401,0.300752,0.255078,0.272112,0.275902,0.290316,0.27824,0.25156,0.306675,0.281692,0.254715,0.25035,0.222115,0.22669,0.271654,0.261664,0.245052,0.272082,0.210084,0.241103,0.257736,0.244465,0.230783,0.222277,0.230606,0.243953,0.24758,0.227907,0.251791,0.245289,0.239382,0.251841
0.947543,0.217752,0.294688,0.251961,0.258496,0.263762,0.283114,0.272532,0.235145,0.302897,0.262942,0.243482,0.239254,0.21039,0.221085,0.254134,0.248632,0.244476,0.266819,0.199861,0.225295,0.242551,0.236178,0.218476,0.216685,0.225241,0.23734,0.24273,0.207789,0.235332,0.234844,0.228382,0.242845
1.44754,0.211474,0.282761,0.257687,0.238249,0.246307,0.272212,0.26648,0.219157,0.29546,0.244454,0.231042,0.230132,0.195405,0.212091,0.234775,0.235046,0.241601,0.257218,0.189803,0.207271,0.2256,0.229796,0.204992,0.2101,0.217167,0.227753,0.232808,0.183838,0.21741,0.21833,0.213032,0.234649
1.94754,0.20401,0.265548,0.270576,0.212144,0.224728,0.256321,0.259293,0.204445,0.282414,0.225776,0.216903,0.221171,0.179681,0.199436,0.214263,0.219881,0.235121,0.242863,0.179212,0.187707,0.20701,0.224964,0.189916,0.203032,0.206979,0.217215,0.218318,0.158255,0.198889,0.196984,0.193776,0.224514
2.44754,0.196484,0.246098,0.284298,0.187684,0.204215,0.236928,0.250726,0.195225,0.265957,0.210392,0.203382,0.211513,0.168161,0.185407,0.197107,0.206089,0.224692,0.226222,0.170128,0.171376,0.189207,0.221212,0.177509,0.196033,0.197372,0.20892,0.20201,0.139698,0.184703,0.177319,0.175343,0.212135
2.94754,0.189689,0.226857,0.291983,0.169576,0.187629,0.216165,0.239484,0.191135,0.247991,0.1991,0.191316,0.199212,0.161818,0.172626,0.182936,0.194561,0.209686,0.209528,0.162963,0.159277,0.172165,0.214689,0.170512,0.187474,0.189407,0.202911,0.186402,0.132069,0.176703,0.163786,0.16072,0.198058
3.44754,0.184043,0.2088,0.289092,0.160395,0.176441,0.198007,0.226105,0.189971,0.231163,0.190827,0.181428,0.186333,0.159032,0.163501,0.170335,0.185632,0.191172,0.195587,0.158676,0.15235,0.157289,0.202658,0.16987,0.178715,0.182658,0.198818,0.173721,0.135299,0.174221,0.158746,0.151719,0.184965
3.94754,0.180224,0.193346,0.275591,0.160555,0.172479,0.187819,0.213755,0.190168,0.216473,0.185332,0.175569,0.177791,0.158915,0.160424,0.159745,0.179833,0.173456,0.186793,0.159318,0.151545,0.148436,0.187545,0.173946,0.173805,0.177912,0.197069,0.167726,0.146166,0.175856,0.162811,0.148424,0.177603
4.44754,0.180104,0.181556,0.255416,0.169219,0.176925,0.187722,0.205597,0.191734,0.20349,0.182443,0.174455,0.177021,0.161208,0.16357,0.152996,0.177425,0.160806,0.18307,0.166002,0.158412,0.148232,0.172934,0.180637,0.175417,0.176793,0.19834,0.171457,0.159672,0.180057,0.174458,0.149453,0.179103
4.94754,0.186737,0.174803,0.232656,0.184591,0.190931,0.196376,0.203171,0.19628,0.192596,0.181652,0.177843,0.183114,0.166458,0.170792,0.15236,0.179258,0.15595,0.183909,0.177603,0.173019,0.154602,0.162549,0.188873,0.182424,0.179594,0.20213,0.184413,0.173308,0.18649,0.191237,0.153964,0.189103
5.44754,0.200081,0.174473,0.212676,0.202586,0.211097,0.210085,0.206967,0.20406,0.185772,0.183404,0.184373,0.193126,0.173545,0.178488,0.158818,0.186785,0.159753,0.18858,0.190505,0.191578,0.162812,0.158247,0.196727,0.191279,0.183873,0.206878,0.202416,0.185775,0.195397,0.209319,0.161118,0.203706
5.94754,0.215448,0.181216,0.1998,0.218353,0.231224,0.224352,0.216489,0.213957,0.185497,0.189538,0.191583,0.205406,0.181116,0.18439,0.170525,0.199427,0.171056,0.197189,0.200482,0.208319,0.170119,0.159528,0.202433,0.198506,0.187256,0.211176,0.220959,0.195839,0.206197,0.22336,0.169954,0.217336
6.44754,0.227963,0.192994,0.195883,0.228406,0.243935,0.234934,0.229271,0.223599,0.193988,0.201648,0.197004,0.219027,0.186891,0.187497,0.182408,0.214452,0.186401,0.210183,0.206415,0.217543,0.176785,0.167057,0.206393,0.201978,0.189563,0.213634,0.236354,0.202119,0.216454,0.229017,0.178059,0.225187
6.94754,0.235131,0.205391,0.200128,0.232419,0.247179,0.239315,0.241163,0.230708,0.209555,0.216844,0.199875,0.232015,0.188914,0.189565,0.190486,0.227985,0.201597,0.22486,0.209682,0.216947,0.184174,0.179791,0.207999,0.202204,0.192601,0.215354,0.248789,0.203762,0.223453,0.228359,0.184627,0.224773
7.44754,0.238858,0.217249,0.209688,0.234759,0.246156,0.239414,0.248759,0.236798,0.226693,0.229842,0.202461,0.239931,0.189935,0.19394,0.195389,0.237921,0.214307,0.23645,0.212694,0.209503,0.192857,0.194263,0.208172,0.202397,0.201583,0.219626,0.259449,0.202524,0.226557,0.227415,0.191,0.220203
7.94754,0.242642,0.231045,0.221489,0.242606,0.24819,0.241819,0.252485,0.245737,0.240511,0.238612,0.207371,0.242102,0.195127,0.201919,0.202019,0.245214,0.224996,0.243486,0.219099,0.204479,0.202843,0.207867,0.20931,0.206718,0.217704,0.229236,0.269183,0.203399,0.228948,0.232661,0.199785,0.22067
8.44754,0.247041,0.244454,0.230241,0.25563,0.254875,0.248436,0.255201,0.256684,0.247897,0.244635,0.213221,0.239529,0.203622,0.213342,0.212867,0.248418,0.234217,0.24697,0.226835,0.206501,0.212214,0.21662,0.212143,0.213432,0.235236,0.243409,0.277138,0.206327,0.232479,0.2412,0.211047,0.229088
8.94754,0.250724,0.253632,0.23374,0.266391,0.260827,0.251682,0.254945,0.264293,0.249732,0.248549,0.213066,0.232249,0.213162,0.22377,0.223824,0.247499,0.238715,0.247801,0.230124,0.213501,0.218406,0.218553,0.214803,0.219546,0.247791,0.254455,0.279189,0.210182,0.234855,0.245612,0.217084,0.239572
9.44754,0.247328,0.252777,0.230933,0.264922,0.254264,0.244476,0.24774,0.258642,0.246618,0.247606,0.202456,0.218651,0.216551,0.225509,0.225048,0.240593,0.235647,0.243758,0.22437,0.216068,0.217764,0.214293,0.210539,0.216147,0.246408,0.255084,0.27351,0.208035,0.230343,0.237528,0.211883,0.242194
9.94754,0.233352,0.24155,0.219638,0.243526,0.227965,0.225439,0.232824,0.235923,0.236941,0.236459,0.181933,0.197574,0.208422,0.214541,0.214276,0.225926,0.222087,0.23075,0.208364,0.205599,0.209361,0.204653,0.196736,0.200696,0.22943,0.240972,0.258548,0.195177,0.214258,0.214387,0.194578,0.230167
10.4475,0.212414,0.227545,0.203284,0.206325,0.190293,0.202763,0.212968,0.20609,0.220496,0.214914,0.158665,0.174456,0.191689,0.195344,0.197169,0.206242,0.199512,0.207519,0.187653,0.18436,0.196817,0.192656,0.176121,0.181589,0.205764,0.218536,0.236757,0.175599,0.19214,0.186749,0.170985,0.207785
10.9475,0.194054,0.21772,0.188139,0.171133,0.15943,0.189636,0.198546,0.182345,0.201968,0.195001,0.143165,0.158249,0.173388,0.177933,0.183597,0.187955,0.176363,0.183055,0.173899,0.16303,0.184748,0.183214,0.158118,0.16764,0.18706,0.200505,0.2157,0.157736,0.175984,0.165828,0.154146,0.187953
11.4475,0.188419,0.216412,0.183134,0.154596,0.152909,0.191587,0.19779,0.175098,0.192603,0.187777,0.142556,0.156866,0.163073,0.172047,0.182307,0.17913,0.161318,0.170051,0.174137,0.154604,0.17962,0.179988,0.152045,0.168265,0.183209,0.195865,0.202732,0.153263,0.175003,0.161777,0.153255,0.179216
11.9475,0.199443,0.224172,0.194551,0.163612,0.174454,0.206791,0.211362,0.185616,0.201305,0.197413,0.159701,0.172152,0.167729,0.182378,0.19361,0.185228,0.162927,0.174108,0.190217,0.1652,0.184586,0.186956,0.159215,0.183661,0.197275,0.208269,0.205732,0.16686,0.191352,0.175968,0.170072,0.185132
12.4475,0.223431,0.23943,0.219471,0.192536,0.212283,0.23073,0.236662,0.209218,0.227809,0.220226,0.191772,0.199588,0.188174,0.204924,0.214187,0.204327,0.181935,0.193642,0.218547,0.190749,0.199903,0.204292,0.17713,0.207975,0.222371,0.231564,0.225136,0.195413,0.218124,0.201619,0.199522,0.202739
12.9475,0.253458,0.258837,0.24826,0.227072,0.250936,0.258247,0.267357,0.239353,0.262624,0.24524,0.230237,0.231203,0.217887,0.232809,0.239396,0.229172,0.209088,0.22062,0.250339,0.222045,0.222494,0.227826,0.200315,0.235112,0.249028,0.256475,0.253603,0.229714,0.246385,0.229452,0.230759,0.224901
13.4475,0.2834,0.278362,0.272251,0.256513,0.280856,0.285317,0.297131,0.268655,0.295286,0.266174,0.264016,0.258833,0.249105,0.259997,0.264241,0.253986,0.234345,0.247468,0.278333,0.249294,0.246185,0.252631,0.224121,0.260975,0.269671,0.276034,0.281069,0.26179,0.271484,0.254122,0.254332,0.245275
13.9475,0.308193,0.295057,0.288029,0.279131,0.301838,0.309025,0.322146,0.29077,0.321474,0.281885,0.2855,0.278826,0.276668,0.281368,0.284203,0.275511,0.252158,0.269757,0.297621,0.267195,0.266767,0.274251,0.245335,0.282853,0.281391,0.286998,0.300054,0.285093,0.290612,0.271514,0.267785,0.260604
14.4475,0.326444,0.307119,0.298542,0.294423,0.316034,0.327429,0.34055,0.302566,0.342911,0.293173,0.294125,0.293443,0.297264,0.295306,0.298113,0.292121,0.262742,0.287101,0.30742,0.278825,0.282472,0.291077,0.262128,0.298298,0.2871,0.291021,0.309438,0.296726,0.302399,0.280548,0.272447,0.270325
14.9475,0.33942,0.314343,0.308016,0.301722,0.325679,0.338147,0.351923,0.307812,0.361031,0.300344,0.2951,0.302779,0.310963,0.302565,0.306399,0.30248,0.26826,0.297878,0.310375,0.287268,0.293553,0.303902,0.274868,0.306518,0.290839,0.29133,0.31278,0.300458,0.307071,0.282986,0.272904,0.27575
15.4475,0.349983,0.317846,0.318927,0.30425,0.33209,0.341957,0.357099,0.31196,0.375594,0.304743,0.296525,0.308933,0.319196,0.305402,0.310813,0.307171,0.270584,0.30343,0.309734,0.293926,0.301659,0.313364,0.283652,0.308002,0.29651,0.292154,0.316058,0.297778,0.305976,0.283332,0.273169,0.27795
15.9475,0.358523,0.319467,0.330334,0.305649,0.333346,0.340985,0.358111,0.317,0.3854,0.308258,0.301555,0.312663,0.321952,0.306828,0.312265,0.308097,0.271054,0.306201,0.309588,0.29938,0.30594,0.319116,0.28847,0.30496,0.305893,0.296813,0.321193,0.292822,0.300849,0.285107,0.274499,0.278068
16.4475,0.364398,0.318224,0.340024,0.309089,0.332726,0.337436,0.358238,0.320993,0.390348,0.311751,0.307969,0.312339,0.319458,0.307047,0.310917,0.306707,0.269931,0.306746,0.308928,0.301914,0.306676,0.320267,0.288352,0.300463,0.314766,0.303144,0.324614,0.288952,0.294257,0.288981,0.27856,0.276628
