Arc_length vs Data,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
7.96378,0.30364,0.404451,0.310723,0.343407,0.371445,0.437068,0.400236,0.400325,0.403391,0.311684,0.348197,0.730582,0.453549
8.46378,0.305141,0.414268,0.317324,0.35485,0.386547,0.477536,0.407101,0.395804,0.394643,0.310644,0.349645,0.74469,0.475831
8.96378,0.308499,0.424795,0.322918,0.357418,0.399051,0.489258,0.405787,0.399278,0.382115,0.302741,0.34649,0.736259,0.485787
9.46378,0.308189,0.4262,0.320992,0.350491,0.401623,0.47616,0.393215,0.399277,0.36729,0.287477,0.335162,0.702138,0.477853
9.96378,0.299674,0.406541,0.306563,0.332539,0.389124,0.444937,0.368867,0.385826,0.347971,0.26504,0.316173,0.647426,0.450058
10.4638,0.280932,0.362534,0.278198,0.302237,0.359364,0.401383,0.332943,0.355579,0.32025,0.237013,0.292609,0.578607,0.403813
10.9638,0.254086,0.304096,0.241975,0.264432,0.317297,0.350755,0.290294,0.3128,0.285574,0.206613,0.267065,0.505138,0.34648
11.4638,0.224477,0.248241,0.207238,0.228269,0.271263,0.301072,0.247459,0.266167,0.250488,0.178707,0.241298,0.433808,0.288971
11.9638,0.19932,0.206688,0.181753,0.201285,0.230881,0.261386,0.211548,0.226582,0.223349,0.15815,0.218834,0.373158,0.24184
12.4638,0.184728,0.183298,0.166478,0.185396,0.204617,0.238556,0.188183,0.200743,0.210136,0.147261,0.203068,0.336387,0.213373
12.9638,0.182179,0.176939,0.160347,0.177762,0.195028,0.234192,0.178224,0.190787,0.211736,0.145373,0.195795,0.327947,0.205441
13.4638,0.190547,0.184506,0.165863,0.17666,0.200654,0.24665,0.182316,0.195567,0.225561,0.151185,0.199421,0.343579,0.215062
13.9638,0.206923,0.204117,0.185017,0.183493,0.217465,0.274184,0.201223,0.20959,0.248916,0.163777,0.213413,0.372691,0.237371
14.4638,0.227991,0.229424,0.217267,0.199123,0.239823,0.312199,0.233726,0.229037,0.278971,0.181339,0.23566,0.406646,0.264177
14.9638,0.254127,0.255217,0.25678,0.22185,0.264173,0.355628,0.27594,0.253923,0.314775,0.201242,0.264497,0.44392,0.289093
15.4638,0.284471,0.280006,0.293406,0.245632,0.288222,0.399462,0.31938,0.283159,0.353778,0.220085,0.293582,0.484297,0.309742
15.9638,0.315741,0.304806,0.322752,0.265756,0.309659,0.440845,0.356301,0.313873,0.391098,0.237245,0.317853,0.525387,0.32776
16.4638,0.344056,0.331051,0.346506,0.28094,0.329219,0.482146,0.38369,0.342559,0.421183,0.250933,0.336273,0.565965,0.345668
16.9638,0.366526,0.355966,0.367862,0.291532,0.350189,0.52202,0.402932,0.366686,0.440231,0.260732,0.348032,0.603412,0.364026
17.4638,0.38178,0.373691,0.387319,0.301024,0.373442,0.552821,0.414704,0.385904,0.448143,0.267602,0.354016,0.629762,0.380692
17.9638,0.389069,0.38099,0.400305,0.308181,0.393951,0.565326,0.417026,0.398794,0.445223,0.270362,0.352946,0.639663,0.390974
18.4638,0.387765,0.376763,0.401901,0.307819,0.404567,0.552796,0.407606,0.400927,0.43217,0.271192,0.344331,0.629059,0.390452
18.9638,0.376483,0.361262,0.390713,0.296372,0.400722,0.521967,0.386301,0.387233,0.411183,0.271698,0.329028,0.599372,0.377174
19.4638,0.357242,0.335127,0.36969,0.277515,0.383319,0.484741,0.357515,0.36099,0.38675,0.270026,0.308084,0.562891,0.354265
19.9638,0.333259,0.303616,0.343511,0.257708,0.357824,0.446233,0.326309,0.329001,0.3622,0.264127,0.281638,0.525633,0.327222
20.4638,0.307111,0.273828,0.317678,0.240837,0.329154,0.40808,0.296629,0.298287,0.337813,0.252697,0.25289,0.48974,0.300404
20.9638,0.283067,0.251582,0.297913,0.227949,0.302917,0.372809,0.272035,0.27457,0.313777,0.23791,0.228405,0.457393,0.277093
21.4638,0.261538,0.236959,0.28403,0.212878,0.279715,0.339585,0.251293,0.254086,0.289645,0.224071,0.20896,0.427581,0.255201
21.9638,0.244512,0.227706,0.275397,0.196072,0.262087,0.314281,0.234139,0.237986,0.269652,0.215281,0.195985,0.406712,0.236828
22.4638,0.233629,0.222014,0.269846,0.183228,0.250595,0.299213,0.22204,0.226626,0.256796,0.211024,0.188307,0.394988,0.22445
22.9638,0.225011,0.217654,0.263923,0.170977,0.240229,0.287207,0.210566,0.21712,0.248466,0.209403,0.180635,0.391327,0.214533
