Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,,Mean FA 4,MeanFA 0,Average,Rel Beta (4 expos),Exp Betas,Exp Corr Beta (4 exposures)
4.03935,0.47112,0.213194,0.281841,0.267408,0.258592,0.222572,0.263494,0.332256,0.243459,0.252531,0.248126,0.23326,0.301558,0.512135,0.282388,,0.250,0.3555,0.2923,-0.3160969735,-0.047,-0.092
4.53935,0.46062,0.204046,0.266862,0.256959,0.248917,0.214632,0.255634,0.315665,0.236672,0.23192,0.239994,0.221925,0.281484,0.506237,0.277886,,0.240,0.3440,0.2813,-0.322534176,-0.046,-0.091
5.03935,0.44954,0.194503,0.252238,0.249055,0.237813,0.208801,0.24877,0.303431,0.228562,0.212483,0.235979,0.207544,0.264795,0.485639,0.273706,,0.230,0.3308,0.2702,-0.3242325381,-0.044,-0.088
5.53935,0.441917,0.189292,0.241986,0.246225,0.229116,0.208164,0.242648,0.294501,0.223313,0.198936,0.237203,0.195603,0.255127,0.459646,0.271435,,0.224,0.3197,0.2623,-0.3176785535,-0.042,-0.083
6.03935,0.440245,0.191772,0.237704,0.249588,0.224225,0.211936,0.239651,0.288459,0.224209,0.195729,0.241407,0.18928,0.252556,0.440342,0.27288,,0.224,0.3140,0.2600,-0.3029989301,-0.040,-0.079
6.53935,0.443807,0.201898,0.238186,0.257114,0.223176,0.217744,0.240721,0.287321,0.229335,0.201925,0.246837,0.188361,0.255701,0.434585,0.277424,,0.229,0.3145,0.2629,-0.2845456245,-0.038,-0.075
7.03935,0.448382,0.216147,0.239955,0.264409,0.224418,0.222921,0.244682,0.292945,0.23632,0.213488,0.251944,0.191036,0.260189,0.439706,0.281544,,0.235,0.3190,0.2685,-0.2678487104,-0.036,-0.072
7.53935,0.44977,0.231252,0.242761,0.27056,0.226939,0.226939,0.249929,0.30417,0.244015,0.226384,0.256539,0.195798,0.264063,0.449668,0.284416,,0.242,0.3246,0.2749,-0.2546581114,-0.035,-0.070
8.03935,0.448386,0.244557,0.247427,0.275415,0.22983,0.230667,0.255217,0.316341,0.251485,0.23709,0.261481,0.200775,0.266405,0.461044,0.287671,,0.248,0.3301,0.2809,-0.2442421587,-0.035,-0.069
8.53935,0.446398,0.25589,0.253454,0.2793,0.23199,0.234684,0.26007,0.32507,0.258024,0.244536,0.266329,0.205251,0.266173,0.470448,0.29131,,0.254,0.3341,0.2859,-0.2358502733,-0.034,-0.067
9.03935,0.446477,0.265405,0.25862,0.282268,0.232581,0.238603,0.264452,0.32878,0.263234,0.249737,0.271026,0.209712,0.263144,0.477161,0.295596,,0.258,0.3368,0.2898,-0.2294677049,-0.034,-0.066
9.53935,0.449064,0.271372,0.260612,0.283456,0.232076,0.241224,0.266633,0.328564,0.266221,0.254011,0.275226,0.213588,0.258368,0.481855,0.300362,,0.261,0.3386,0.2922,-0.2261292441,-0.034,-0.066
10.0394,0.451341,0.272928,0.260451,0.282985,0.231532,0.242054,0.265633,0.327462,0.266376,0.259284,0.278438,0.216502,0.253215,0.485381,0.306151,,0.262,0.3400,0.2933,-0.2261590002,-0.034,-0.066
10.5394,0.449512,0.270392,0.260433,0.280135,0.231893,0.240918,0.26189,0.326301,0.262274,0.264065,0.27963,0.218606,0.2472,0.487987,0.312336,,0.261,0.3403,0.2929,-0.2291182739,-0.034,-0.067
11.0394,0.442931,0.265669,0.262877,0.2761,0.233694,0.23871,0.256466,0.326191,0.255164,0.267,0.279334,0.220808,0.241316,0.488551,0.316809,,0.259,0.3394,0.2914,-0.2328467762,-0.034,-0.068
