Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM
0.304077,0.231793,0.203057,0.225766,0.248784,0.233257,0.2309,0.199512,0.21052,0.227252,0.199338,0.217873,0.218328,0.209099,0.156367,0.200528,0.209942,0.243728,0.265722,0.237065,0.226911,0.204984,0.209628,0.205354,0.211887,0.199382,0.204518,0.223124,0.217347,0.212038,0.248978,0.252663,0.226953,0.225394,0.244156,0.224421,0.224339
0.804077,0.242948,0.208024,0.242211,0.265751,0.255201,0.239736,0.204565,0.222724,0.246304,0.209986,0.226499,0.229582,0.218677,0.169912,0.203364,0.218772,0.258013,0.282773,0.253938,0.241748,0.21516,0.215674,0.210594,0.21532,0.210679,0.207772,0.243856,0.240544,0.229058,0.260176,0.260708,0.243867,0.233781,0.256322,0.229406,0.232915
1.30408,0.251849,0.211664,0.255456,0.276302,0.266956,0.244172,0.210297,0.236007,0.255332,0.214198,0.232641,0.235168,0.228879,0.182615,0.203792,0.226349,0.266493,0.290016,0.26223,0.251194,0.220282,0.218631,0.213687,0.217328,0.22191,0.20655,0.258228,0.253679,0.238666,0.26683,0.263817,0.249149,0.238324,0.260939,0.234872,0.239655
1.80408,0.263855,0.220058,0.272578,0.286581,0.279182,0.251702,0.219358,0.253708,0.26332,0.219485,0.239755,0.240132,0.243526,0.201146,0.204957,0.23592,0.275676,0.29885,0.270373,0.261687,0.224878,0.221781,0.217246,0.220155,0.238283,0.205723,0.272594,0.264938,0.247043,0.274454,0.265952,0.251422,0.243575,0.265313,0.244065,0.246516
2.30408,0.278582,0.23714,0.290934,0.294692,0.290516,0.263975,0.232454,0.273349,0.270371,0.227376,0.245982,0.244541,0.259866,0.223455,0.209247,0.245824,0.282789,0.309519,0.278384,0.272558,0.229627,0.22484,0.221701,0.224606,0.257152,0.207977,0.282824,0.272436,0.251551,0.282606,0.26782,0.251103,0.249299,0.270102,0.255879,0.251023
2.80408,0.294931,0.264701,0.306782,0.302553,0.302572,0.281213,0.249299,0.291855,0.282278,0.242004,0.251425,0.250538,0.275169,0.247656,0.21982,0.255546,0.287992,0.323509,0.286861,0.284588,0.238197,0.228915,0.228666,0.231545,0.276715,0.215896,0.288764,0.280976,0.254672,0.293924,0.273543,0.255605,0.255645,0.279213,0.268273,0.253383
3.30408,0.310103,0.300523,0.3182,0.314051,0.316901,0.301836,0.269519,0.310864,0.303965,0.261866,0.258371,0.260516,0.289614,0.272286,0.236196,0.266999,0.293108,0.338612,0.297099,0.297244,0.252941,0.235827,0.239447,0.241117,0.295543,0.228323,0.296921,0.296191,0.26072,0.309204,0.285644,0.268664,0.263701,0.293885,0.280515,0.255491
3.80408,0.322844,0.337045,0.327717,0.328637,0.330893,0.325336,0.290641,0.331014,0.331371,0.28024,0.27081,0.275191,0.303421,0.297099,0.254654,0.282558,0.298351,0.349162,0.30961,0.310341,0.271012,0.246199,0.253638,0.253064,0.311746,0.243309,0.310693,0.317945,0.270671,0.326005,0.304224,0.288622,0.272586,0.310638,0.294083,0.260829
4.30408,0.33178,0.36903,0.340081,0.344544,0.345845,0.351027,0.309861,0.350537,0.356928,0.29195,0.290461,0.292028,0.315442,0.322249,0.271278,0.302549,0.303328,0.35302,0.322582,0.323535,0.287606,0.259344,0.26986,0.266099,0.325578,0.260809,0.328541,0.341,0.281956,0.340165,0.326765,0.309813,0.28112,0.325465,0.30979,0.2707
4.80408,0.338705,0.392009,0.356881,0.360133,0.364841,0.377335,0.325995,0.36777,0.374925,0.297462,0.314147,0.310628,0.325096,0.346164,0.284366,0.323741,0.306883,0.351331,0.334754,0.337268,0.298914,0.272984,0.285716,0.279216,0.336588,0.280338,0.346449,0.359761,0.291433,0.351422,0.349362,0.32513,0.28811,0.334222,0.3258,0.284487
5.30408,0.345691,0.404234,0.37611,0.37449,0.390099,0.401884,0.338551,0.379937,0.38547,0.300934,0.336526,0.330313,0.33123,0.365135,0.29436,0.34092,0.309277,0.34754,0.343436,0.350662,0.305407,0.284932,0.300228,0.291854,0.343736,0.299902,0.360027,0.371729,0.29743,0.36293,0.368167,0.332329,0.292355,0.336919,0.338529,0.299335
5.80408,0.353962,0.409382,0.391125,0.387361,0.419379,0.421996,0.349794,0.389104,0.390613,0.307181,0.35276,0.349094,0.336723,0.375446,0.302357,0.349938,0.312078,0.345127,0.348473,0.362252,0.309877,0.29526,0.312272,0.303643,0.347329,0.315089,0.368356,0.377536,0.301212,0.377521,0.380194,0.333281,0.295112,0.336164,0.346052,0.311699
6.30408,0.363759,0.409937,0.398112,0.39739,0.443716,0.437525,0.362005,0.398348,0.393381,0.317762,0.363738,0.364198,0.345262,0.378433,0.308632,0.351906,0.316524,0.344841,0.353676,0.371654,0.314899,0.305717,0.320181,0.315135,0.348333,0.324327,0.373467,0.380724,0.30498,0.394207,0.386455,0.332003,0.297285,0.334909,0.349066,0.320057
6.80408,0.372732,0.410745,0.398652,0.405291,0.455169,0.448004,0.375431,0.408435,0.392871,0.329891,0.371367,0.372455,0.356186,0.377888,0.312631,0.350087,0.322447,0.3455,0.361505,0.37912,0.320658,0.317583,0.324896,0.325192,0.348596,0.330198,0.377902,0.384599,0.309743,0.406353,0.389888,0.330667,0.299954,0.335969,0.349673,0.323751
7.30408,0.379681,0.414286,0.396438,0.412579,0.451821,0.453073,0.389767,0.418965,0.389081,0.341466,0.377482,0.374811,0.368103,0.377557,0.315966,0.347958,0.328618,0.34547,0.370241,0.384199,0.326612,0.328629,0.327408,0.333925,0.350031,0.337717,0.383692,0.390914,0.315276,0.410178,0.39433,0.330118,0.304251,0.339044,0.350313,0.325256
7.80408,0.383947,0.421428,0.395412,0.421472,0.440262,0.45365,0.403163,0.428631,0.384911,0.350637,0.382619,0.374876,0.377734,0.378349,0.319851,0.347132,0.33307,0.345905,0.375514,0.384503,0.331767,0.336874,0.329329,0.340807,0.353391,0.348545,0.390531,0.398317,0.319988,0.40846,0.401712,0.331802,0.309979,0.343147,0.35179,0.32774
8.30408,0.386926,0.4304,0.395341,0.432505,0.429385,0.45141,0.413607,0.436544,0.383195,0.357563,0.38569,0.377568,0.382358,0.379927,0.325989,0.348026,0.336887,0.347559,0.375201,0.381157,0.334953,0.342101,0.332269,0.346378,0.359359,0.359768,0.397374,0.405309,0.321969,0.407799,0.411073,0.337116,0.317057,0.3478,0.354153,0.332964
8.80408,0.390456,0.437736,0.396534,0.443731,0.422831,0.448689,0.419897,0.442914,0.385732,0.363655,0.387453,0.383469,0.382897,0.380531,0.332938,0.35064,0.340216,0.350261,0.370352,0.37749,0.335816,0.346055,0.335409,0.352009,0.366294,0.366259,0.403811,0.411156,0.318966,0.413702,0.420252,0.345667,0.323958,0.352437,0.35616,0.339636
9.30408,0.395963,0.439806,0.399375,0.451571,0.420937,0.444738,0.42127,0.445669,0.389782,0.369644,0.389043,0.390243,0.38262,0.38001,0.338486,0.354088,0.341807,0.353019,0.366198,0.375842,0.335021,0.351166,0.337743,0.357972,0.372433,0.366742,0.410514,0.415825,0.311873,0.424575,0.427086,0.354606,0.329667,0.356509,0.356575,0.343905
9.80408,0.402417,0.434757,0.404152,0.452838,0.419957,0.440489,0.418776,0.443163,0.392151,0.373201,0.390167,0.395274,0.382854,0.377005,0.34172,0.35616,0.340942,0.353461,0.364824,0.375576,0.334275,0.355447,0.338263,0.364585,0.3758,0.363492,0.417782,0.417488,0.304786,0.431969,0.429685,0.361597,0.332871,0.358939,0.356286,0.342825
10.3041,0.407153,0.424407,0.409403,0.446285,0.418419,0.435594,0.415173,0.437074,0.390446,0.371926,0.38854,0.397328,0.382401,0.370059,0.341983,0.354458,0.335566,0.350284,0.365038,0.373495,0.33505,0.357437,0.335877,0.36932,0.376204,0.358609,0.422806,0.414007,0.302417,0.430566,0.427166,0.364333,0.333238,0.358051,0.356906,0.337221
10.8041,0.407622,0.411428,0.411043,0.434909,0.418051,0.430716,0.411556,0.428224,0.385189,0.366791,0.381915,0.396783,0.378112,0.360415,0.340576,0.349215,0.326931,0.342913,0.366274,0.371051,0.337842,0.35792,0.330423,0.369928,0.376564,0.353952,0.421247,0.405645,0.30625,0.421395,0.420401,0.362861,0.332916,0.354205,0.357133,0.330169
11.3041,0.403327,0.39949,0.407659,0.423151,0.419045,0.428972,0.408144,0.420037,0.379802,0.360788,0.372111,0.39425,0.3699,0.350834,0.338981,0.34326,0.320236,0.333186,0.367716,0.371745,0.341879,0.360527,0.324885,0.366216,0.380085,0.348881,0.412025,0.39451,0.313719,0.410152,0.412398,0.357826,0.334035,0.349371,0.354873,0.324839
