Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
2.03935,0.507717,0.537834,0.469356,0.519708,0.548617,0.570252,0.516737,0.536969,0.509957,0.499078,0.526257,0.543826,0.515692,0.483861,0.486787,0.484925,0.505513,0.503422,0.477477,0.47664,0.493595,0.483647,0.390933,0.430087,0.508311,0.448149,0.49241,0.452644,0.505626,0.491746,0.526705,0.510359,0.459594,0.517379,0.4818,0.490317,0.544751
2.53935,0.50914,0.529628,0.465299,0.518791,0.537843,0.566075,0.514107,0.535942,0.505471,0.495305,0.524275,0.545496,0.510755,0.482028,0.487626,0.483037,0.500687,0.50087,0.477771,0.476851,0.487166,0.47393,0.40246,0.438114,0.505273,0.450757,0.491173,0.455422,0.503841,0.483026,0.517278,0.50789,0.456931,0.509052,0.475185,0.491423,0.538972
3.03935,0.510634,0.524051,0.473824,0.518529,0.532821,0.567399,0.51348,0.537902,0.506048,0.490304,0.52718,0.54684,0.509386,0.488863,0.494921,0.486524,0.504381,0.504492,0.485409,0.484437,0.486881,0.474894,0.418791,0.457098,0.505919,0.456229,0.491868,0.460862,0.504571,0.477181,0.510545,0.509882,0.457348,0.506774,0.478937,0.495151,0.536624
3.53935,0.507865,0.518788,0.486891,0.513981,0.52776,0.567882,0.511976,0.53657,0.506793,0.483732,0.528636,0.546371,0.507101,0.496499,0.500246,0.490078,0.507807,0.506702,0.49192,0.492099,0.48638,0.480887,0.429421,0.473092,0.507046,0.458367,0.488855,0.464656,0.503481,0.471191,0.503405,0.508853,0.456915,0.505726,0.486676,0.495641,0.533349
4.03935,0.500292,0.511906,0.495038,0.503205,0.520091,0.561739,0.505256,0.528328,0.503669,0.476037,0.523085,0.540746,0.500722,0.497791,0.497403,0.488744,0.504805,0.50069,0.4918,0.493368,0.480203,0.4832,0.428519,0.475201,0.505732,0.454487,0.479638,0.463063,0.496664,0.463143,0.494033,0.500037,0.453797,0.500632,0.48952,0.48868,0.527348
4.53935,0.490409,0.501439,0.491528,0.485799,0.509952,0.548613,0.491582,0.51311,0.49486,0.466337,0.509761,0.528322,0.489569,0.492003,0.485372,0.480402,0.494143,0.485942,0.483841,0.48586,0.467506,0.475786,0.417646,0.46393,0.500264,0.444525,0.465966,0.456523,0.483009,0.452674,0.48191,0.484042,0.445232,0.489153,0.484263,0.473323,0.517668
5.03935,0.479132,0.487709,0.478329,0.463315,0.499165,0.530898,0.473145,0.494389,0.481402,0.4534,0.491648,0.51116,0.473882,0.483187,0.467958,0.466558,0.479071,0.466878,0.469621,0.471634,0.451617,0.460213,0.40276,0.44734,0.490755,0.429938,0.450021,0.448113,0.46541,0.440784,0.468457,0.464729,0.432427,0.473897,0.473129,0.451647,0.505207
5.53935,0.466061,0.470696,0.459414,0.439143,0.487677,0.511924,0.453276,0.474946,0.466463,0.436579,0.470981,0.492754,0.454978,0.474075,0.447636,0.448968,0.462079,0.44689,0.451726,0.454509,0.436346,0.441686,0.388945,0.431156,0.477117,0.411915,0.432449,0.438943,0.445868,0.427853,0.455008,0.445528,0.417784,0.457913,0.45976,0.427597,0.491512
6.03935,0.451578,0.452999,0.438227,0.416821,0.47526,0.495202,0.435016,0.456179,0.4522,0.416335,0.450567,0.476079,0.434924,0.464991,0.426793,0.429209,0.445093,0.428804,0.433388,0.437953,0.422488,0.426051,0.377339,0.418311,0.459781,0.392636,0.41385,0.428909,0.426464,0.415206,0.443008,0.427603,0.402909,0.443592,0.446395,0.404754,0.477599
6.53935,0.436782,0.437265,0.416951,0.398451,0.461049,0.480706,0.419145,0.438267,0.438229,0.39516,0.431951,0.461849,0.415359,0.454851,0.407358,0.409281,0.429584,0.413522,0.417081,0.423445,0.410609,0.416033,0.368338,0.409068,0.440387,0.375201,0.395253,0.416323,0.409073,0.403452,0.432368,0.41173,0.388664,0.431121,0.432484,0.385378,0.465398
7.03935,0.42102,0.423167,0.39534,0.382799,0.444158,0.465767,0.403827,0.419695,0.422483,0.374731,0.414481,0.447696,0.396742,0.44145,0.388453,0.389626,0.41482,0.399208,0.40343,0.410729,0.399127,0.409969,0.359774,0.4025,0.420318,0.360614,0.37817,0.400139,0.392613,0.391838,0.421383,0.396616,0.374349,0.418639,0.416523,0.3693,0.454349
7.53935,0.404058,0.409191,0.374695,0.367571,0.425905,0.449134,0.387489,0.400316,0.403877,0.356898,0.397193,0.431726,0.379391,0.42424,0.369146,0.369812,0.40022,0.384495,0.392266,0.399968,0.387719,0.404391,0.350644,0.395308,0.400726,0.347721,0.363283,0.381841,0.375757,0.379691,0.408361,0.38168,0.361047,0.405057,0.398679,0.355369,0.442929
8.03935,0.385702,0.393153,0.356708,0.351386,0.407618,0.4313,0.369959,0.380286,0.382954,0.341735,0.379877,0.41366,0.36304,0.403863,0.348934,0.349301,0.384859,0.369668,0.381794,0.391268,0.376075,0.396522,0.34123,0.386035,0.38163,0.333475,0.349828,0.362426,0.3575,0.366205,0.393612,0.36601,0.349335,0.390005,0.380798,0.342849,0.429656
8.53935,0.365994,0.375079,0.342314,0.333281,0.389161,0.412665,0.351517,0.359805,0.360938,0.328405,0.362781,0.393924,0.346861,0.381706,0.327809,0.328232,0.368575,0.355241,0.371125,0.383957,0.362535,0.384855,0.330623,0.373889,0.362309,0.316846,0.33651,0.342567,0.33789,0.350687,0.37799,0.349669,0.338151,0.373067,0.363896,0.331161,0.413712
9.03935,0.345814,0.356614,0.330641,0.313778,0.369859,0.39378,0.332312,0.339362,0.338798,0.315555,0.346974,0.37443,0.329499,0.359821,0.306601,0.306634,0.351296,0.341164,0.360571,0.377213,0.346924,0.369761,0.319236,0.359778,0.341874,0.298751,0.322438,0.323344,0.317853,0.333614,0.362485,0.333799,0.326028,0.354927,0.347745,0.319857,0.395775
