Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-2.09786,0.72446,0.45318,0.4966,0.521167,0.487861,0.497523,0.481412,0.651965,0.476318,0.489949,0.42564,0.516016,0.578477,0.824643,0.599776
-1.59786,0.709202,0.442958,0.493531,0.517917,0.47303,0.487928,0.474222,0.652953,0.470973,0.47754,0.430152,0.510217,0.562465,0.829784,0.589373
-1.09786,0.697151,0.430583,0.490373,0.514913,0.451804,0.478284,0.464338,0.652599,0.464772,0.46589,0.430727,0.509193,0.546582,0.829881,0.577197
-0.59786,0.687814,0.417806,0.485432,0.511313,0.429272,0.466283,0.452916,0.645863,0.454598,0.455804,0.424523,0.506899,0.531742,0.823842,0.559695
-0.0978603,0.682453,0.405565,0.481693,0.509587,0.412665,0.453475,0.443332,0.633854,0.439137,0.449265,0.417763,0.503979,0.519108,0.817685,0.540483
0.40214,0.681268,0.393995,0.478892,0.50845,0.404251,0.438445,0.436939,0.617978,0.420031,0.444709,0.413746,0.49941,0.509675,0.812796,0.520825
0.90214,0.680454,0.383442,0.476929,0.50535,0.399412,0.422731,0.433311,0.603322,0.403402,0.441447,0.414267,0.495069,0.503043,0.810196,0.501649
1.40214,0.674017,0.374857,0.474548,0.497235,0.391693,0.40928,0.430148,0.59084,0.391675,0.438945,0.415089,0.491106,0.497452,0.808921,0.482509
1.90214,0.659234,0.367788,0.466646,0.480999,0.379788,0.399393,0.426533,0.575926,0.380833,0.43406,0.409978,0.483244,0.490842,0.804608,0.460639
2.40214,0.637792,0.362418,0.45323,0.459239,0.367655,0.396537,0.423564,0.559153,0.366778,0.425269,0.400398,0.471729,0.483763,0.795801,0.43983
2.90214,0.611929,0.358106,0.435384,0.433916,0.356075,0.395735,0.419233,0.539419,0.345593,0.411272,0.3886,0.455238,0.475882,0.781175,0.420858
3.40214,0.58192,0.352976,0.414725,0.40756,0.343502,0.391982,0.40992,0.518186,0.318526,0.393976,0.377442,0.434086,0.465417,0.760906,0.40265
3.90214,0.549796,0.34337,0.392331,0.381564,0.32797,0.382763,0.394928,0.499537,0.292248,0.376031,0.366817,0.409204,0.449742,0.737767,0.38506
4.40214,0.519717,0.328188,0.369329,0.355712,0.310685,0.368059,0.377174,0.485258,0.272657,0.358328,0.356665,0.383442,0.428329,0.712654,0.367414
4.90214,0.495578,0.308796,0.346519,0.332235,0.29478,0.349817,0.360405,0.473831,0.261918,0.3423,0.346054,0.359423,0.40312,0.684421,0.348867
5.40214,0.477935,0.288212,0.323423,0.313649,0.280976,0.330508,0.346467,0.459549,0.255664,0.32696,0.33437,0.337113,0.376578,0.652268,0.330329
5.90214,0.46233,0.267617,0.30191,0.299046,0.266786,0.310406,0.333882,0.434149,0.245679,0.309716,0.321079,0.315474,0.349918,0.617392,0.312299
6.40214,0.441693,0.247106,0.283011,0.287099,0.25033,0.28891,0.319948,0.395991,0.229313,0.290069,0.307282,0.293201,0.323444,0.584427,0.293408
6.90214,0.413893,0.229118,0.26526,0.276534,0.232437,0.26817,0.303699,0.35561,0.210329,0.269329,0.29604,0.270251,0.297497,0.553012,0.274685
7.40214,0.384129,0.215804,0.249642,0.267854,0.215877,0.251285,0.286593,0.328198,0.196202,0.252938,0.290067,0.249233,0.27504,0.52259,0.259325
7.90214,0.363162,0.207826,0.239286,0.26366,0.205724,0.242231,0.272756,0.317426,0.192745,0.24302,0.290191,0.234498,0.260032,0.494301,0.251389
8.40214,0.362055,0.203535,0.236845,0.265407,0.204924,0.242407,0.267962,0.317101,0.197506,0.237727,0.294945,0.230893,0.256526,0.474593,0.25442
